,ds,RSI_14_SPY,BBP_5_2.0_SPY,ZSCORE_20_SPY,KC_CHANNEL_20_2_SPY,OBV_MA_Ratio_SPY,CCI_14_SPY,SPY,y,unique_id
0,2025-06-20,0.540234,0.483181,0.10666,0.522886,-0.01827,-0.211573,594.28,4.781524494517702,0
1,2025-06-18,0.573503,0.619142,0.221667,0.646195,-0.011986,0.050037,597.44,4.80113169444507,0
2,2025-06-17,0.574439,0.631387,0.235662,0.660413,-0.005283,0.093293,597.53,4.801948661108711,0
3,2025-06-16,0.628957,0.825412,0.383383,0.864206,0.004032,0.304135,602.68,4.849241953526112,0
4,2025-06-13,0.58901,0.639601,0.264275,0.695915,-0.002148,0.137287,597.0,4.84823558018211,0
5,2025-06-12,0.668422,0.912244,0.44004,0.978157,0.007109,0.330313,603.75,4.842109773608808,0
6,2025-06-11,0.653042,0.873869,0.404445,0.921841,0.00031,0.357533,601.36,4.829085978917616,0
7,2025-06-10,0.673931,0.996031,0.462264,1.020748,0.008752,0.426855,603.08,4.809893018320074,0
8,2025-06-09,0.653592,0.919563,0.412739,0.936089,0.004718,0.433528,599.68,4.841424310730323,0
9,2025-06-06,0.650376,0.845499,0.42373,0.935008,-0.001087,0.473079,599.14,4.847593476636676,0
10,2025-06-05,0.612719,0.672443,0.323428,0.782928,-0.008183,0.280839,593.05,4.847593476636676,0
11,2025-06-04,0.643137,0.755652,0.388254,0.908174,0.000328,0.464575,595.93,4.834745097793646,0
12,2025-06-03,0.644789,0.772469,0.399433,0.925976,0.007556,0.46203,596.09,4.831243572275111,0
13,2025-06-02,0.625949,0.726283,0.348662,0.854114,0.000995,0.172832,592.71,4.870035075813592,0
14,2025-05-30,0.606935,0.681244,0.317823,0.790929,-0.005237,0.039029,589.39,4.887691868803455,0
15,2025-05-29,0.612684,0.713862,0.345494,0.837948,0.003051,0.182442,590.05,4.895413772937688,0
16,2025-05-28,0.600327,0.691363,0.336457,0.800895,-0.006128,0.174546,587.73,5.024753286415701,0
17,2025-05-27,0.627742,0.771839,0.407919,0.914656,0.000115,0.132201,591.15,4.984245311800357,0
18,2025-05-23,0.562416,0.592766,0.266271,0.634295,-0.007065,-0.02561,579.11,4.86967046475661,0
19,2025-05-22,0.594436,0.67529,0.339776,0.758526,0.002145,0.092517,583.09,4.915194360576996,0
20,2025-05-21,0.593193,0.691828,0.358323,0.767657,-0.002632,0.147057,582.86,4.906013070663641,0
21,2025-05-20,0.67685,0.851529,0.497996,1.077704,0.011159,0.281371,592.85,4.975159660323598,0
22,2025-05-19,0.695072,0.90046,0.551171,1.164321,0.02401,0.338492,594.85,4.9918007482915545,0
23,2025-05-16,0.692574,0.908318,0.580993,1.201316,0.022765,0.409352,594.2,4.987018826461683,0
24,2025-05-15,0.678504,0.908383,0.589041,1.147106,0.020552,0.450051,590.46,4.965404539790658,0
25,2025-05-14,0.667665,0.920896,0.589559,1.117125,0.018521,0.544232,587.59,4.959953148904604,0
26,2025-05-13,0.664924,0.972984,0.621781,1.120325,0.015035,0.634627,586.84,4.930400871995992,0
27,2025-05-12,0.651211,0.998554,0.612086,1.073593,0.009571,0.593832,582.99,4.856376722069564,0
28,2025-05-09,0.572516,0.786749,0.35359,0.756853,0.002679,0.267872,564.34,4.6662475101138305,0
29,2025-05-08,0.577185,0.827345,0.362109,0.782871,0.009056,0.306941,565.06,4.669307940084949,0
30,2025-05-07,0.559053,0.790287,0.293555,0.724732,0.005674,0.234518,561.15,4.621584360222821,0
31,2025-05-06,0.548242,0.758329,0.2402,0.692658,0.003074,0.24919,558.8,4.603508695705902,0
32,2025-05-05,0.574455,0.841649,0.299128,0.791824,0.012558,0.363136,563.51,4.64673726904795,0
33,2025-05-02,0.592611,0.916783,0.349066,0.86061,0.022868,0.472525,566.76,4.674472415661211,0
34,2025-05-01,0.559647,0.854247,0.221661,0.743701,0.023253,0.461639,558.47,4.606090933494034,0
35,2025-04-30,0.543383,0.78642,0.154286,0.69461,0.023873,0.319022,554.54,4.546699464367016,0
36,2025-04-29,0.542505,0.772619,0.146678,0.711387,0.021104,0.41812,554.32,4.547273294986601,0
37,2025-04-28,0.529242,0.718622,0.085958,0.666467,0.020932,0.411076,550.85,4.517434102768196,0
38,2025-04-25,0.528474,0.709967,0.076073,0.672284,0.021351,0.440251,550.64,4.526278811624072,0
39,2025-04-24,0.514642,0.639903,0.016842,0.623896,0.017758,0.385882,546.69,4.574449561975477,0
40,2025-04-23,0.473739,0.486341,-0.156115,0.478038,0.011654,0.287268,535.42,4.666612268343033,0
41,2025-04-22,0.442091,0.375795,-0.287441,0.363815,0.002332,-0.033055,527.25,4.563115935163968,0
42,2025-04-21,0.385977,0.21712,-0.50581,0.171674,-0.005085,-0.2415,513.88,4.446374535536392,0
43,2025-04-17,0.423001,0.319408,-0.355607,0.306664,0.001265,-0.078605,526.41,4.440367360921463,0
44,2025-04-16,0.419908,0.29184,-0.391784,0.289742,-0.005354,-0.091668,525.66,4.381866116714431,0
45,2025-04-15,0.456076,0.396089,-0.23686,0.419402,0.003912,0.022649,537.61,4.5181215243997395,0
46,2025-04-14,0.460732,0.399939,-0.231697,0.434447,0.00679,-0.00665,539.12,4.5352677317837,0
47,2025-04-11,0.442605,0.332225,-0.325435,0.374057,-0.008493,-0.122376,533.94,4.365846904822306,0
48,2025-04-10,0.409287,0.217853,-0.479212,0.264294,-0.030461,-0.221963,524.58,4.256420165023408,0
49,2025-04-09,0.477334,0.45448,-0.167007,0.497285,-0.021141,-0.185479,548.62,4.307826170036534,0
50,2025-04-08,0.214233,-0.11706,-0.918314,-0.226348,-0.056509,-0.51064,496.48,3.8461191085455537,0
51,2025-04-07,0.230562,-0.183737,-0.963136,-0.273598,-0.045536,-0.736521,504.38,3.916660255505429,0
52,2025-04-04,0.232436,-0.410157,-1.13619,-0.506304,-0.022605,-1.040719,505.28,3.647805118785071,0
53,2025-04-03,0.315599,-0.246806,-0.760749,-0.118119,-0.000949,-0.833674,536.7,3.435981776979632,0
54,2025-04-02,0.447131,0.503124,-0.197971,0.401875,0.012636,-0.1133,564.52,3.545744700254833,0
55,2025-04-01,0.41841,0.358243,-0.282967,0.295951,0.005421,-0.200101,560.97,3.5200500298052018,0
56,2025-03-31,0.405649,0.290222,-0.327785,0.234375,0.000397,-0.341676,559.39,3.4918976082690842,0
57,2025-03-28,0.375619,0.165728,-0.413873,0.091001,-0.011631,-0.214195,555.66,3.4920465628803865,0
58,2025-03-27,0.438626,0.444987,-0.236034,0.353462,-0.006772,0.145017,567.08,3.5864837864459873,0
59,2025-03-26,0.447849,0.462159,-0.227303,0.384441,-0.003085,0.243771,568.59,3.5773907331453567,0
60,2025-03-25,0.491514,0.583287,-0.126472,0.558544,0.001365,0.396438,575.46,3.5306760630817755,0
61,2025-03-24,0.482095,0.531891,-0.164067,0.525426,-0.003025,0.28471,574.08,3.510639455430092,0
62,2025-03-21,0.407511,0.327717,-0.347159,0.270267,-0.009385,-0.116383,563.98,3.4403682100231157,0
